tweet_id,user_id,username,text,like_count,retweet_count,location,creation_date_time,sentiment
1.50E+18,882335875,MagzFife,After that side effects list came out from Pfizer basically 7 chance you die from covid with no vax 7 chance you die from a heart issue because of the Vax Who you playing dice with,1,0,"Cape Town, South Africa",13/3/2022,NEGATIVE
1.50E+18,498877959,JonathanHannah,pfizer Weren’t you talking about Covid-19 deaths Deaths overall being down doesn’t necessarily mean there can’t be a rise in deaths due to the vaccine There’s a lot more causes of death than just C19,3,0,"Scotland, United Kingdom",13/3/2022,NEGATIVE
1.50E+18,44037580,chelseaehunter,Right before the first official COVID case was reported Additional note He also discusses meditation WEF Pfizer COVID19,0,0,Australia,13/3/2022,NEUTRAL
1.50E+18,732650840,RPrasad12,My Editorial today on vaccination of children 12-14 years Never before has the expert body [NTAGI been completely sidestepped to clear a vaccine for the immunisation programme and by doing so has set an unhealthy precedent,2,3,Chennai,18/3/2022,NEUTRAL
1.50E+18,1735985618,AdvanceCHC,Meet us TODAY at the Southeast Raleigh YMCA from 10AM-3PM for your COVID-19 vaccine or booster shot The fight against COVID-19 still continues,2,1,"Raleigh, NC",18/3/2022,NEUTRAL
1.50E+18,2670193904,KevinCloskey,pfizer According to the FAA You only need A vaccine passport If you book online And are flying round trip Since VACCINATION Calculates to 666 You're going to hell And THAT FLIGHT IS A ONE-WAY TICKET,0,0,"Philadelphia, PA",13/3/2022,NEGATIVE
1.50E+18,259917502,darknessn2light,also consider the ukranians fleeing for their lives in the midst of a war still wearing masks because THEY DON'T HAVE ACCESS TO THE VACCINE but yeah covid vaccine deniers keep telling me about your inconvenient life uugggh,0,0,Global Majority USA,18/3/2022,NEUTRAL
1.50E+18,329607261,NHSGrampian,If you are thinking about getting pregnant the vaccine is the best way to protect you and your baby from COVID-19 Visit to book an appointment or find your nearest drop-in clinic TakeItFromThem,0,1,"Grampian, Scotland",18/3/2022,NEUTRAL
1.50E+18,1.45E+18,Dfic13,Did you not see the side effects Pfizer released last week Here's page 1 of 8,0,0,No Location,13/3/2022,NEGATIVE
1.50E+18,4821550617,HoppityHunter,Success has many fathers failure has none or in this case listening to this interview given by the Pfizer CEO it looks like he's laying the blame firmly at the doors of his scientists A defining interview perhaps,0,0,Eva Levante's knicker drawer,13/3/2022,NEUTRAL
1.50E+18,44603431,JackJG,Pfizers Covid anti viral cost 529 per treatment course Two does of vaccine costs 40 So cost may be part of it,0,0,"Montana, USA",18/3/2022,NEUTRAL
1.50E+18,1.31E+18,ProfessorRees,The immune system will work more effectively when stimulated by better vaccines Improve the vaccine designs and pfizer by incorporating multi-antigens for broad B cell and robust T cell responses and this may cease to be a problem vaccineimprovement COVID19,1,0,"Stockholm, Sweden",18/3/2022,NEUTRAL
1.50E+18,753137912,cpcriser,What makes it absurd There’s plenty of evidence all over the place that it’s plausible Proven Of course not Calling it absurd shows how undeniably brainwashed you are that vaccines can be harmful Just look at the damn released Pfizer pages It says it all right there…,7,0,COVID Puzzle Piece Builder,13/3/2022,NEUTRAL
1.50E+18,354452162,TrinidadXMan,Wow This is very important information especially if someone is trying to file for a religious exemption Moderna's SEC filing says it's mRNA technology is gene therapy something the MSM fake fact checkers have gone to great lengths to deny,1,0,"Houston, TX",12/3/2022,NEUTRAL
1.50E+18,1913959446,9_breaking_news,Young professional reveals his strange side effect of the Covid vaccine,0,0,united states,18/3/2022,NEUTRAL
1.50E+18,1.20E+18,Joshua_Beeker,Maybe I am reading into this wrong Possibly it’s just the mechanism they are are describing here But why would Moderna patent a vaccine used for COOFID-19 in 2018 Wouldn’t they need to develop it starting in 2020 when they found out they needed it Patent 9 868 692,1,0,No Location,12/3/2022,NEUTRAL
1.50E+18,1.22E+18,BlakeFelix5,If Sinovac efficiency were 100 at preventing contagious infections that would help a great deal IMO but none of the vaccines meet that bar,1,0,No Location,12/3/2022,NEUTRAL
1.50E+18,1.06E+18,helloits_Adele,Pfizer whistleblower Brook Jackson shares the data integrity issues she saw in the COVID-19 vaccine trial Covid-19 Researcher blows the whistle on data integrity issues in Pfize via,3,2,No Location,18/3/2022,NEUTRAL
1.50E+18,262925274,Soophenomina,Confirming you were not referring to WHO approved Covaxin,0,0,No Location,12/3/2022,NEUTRAL
1.50E+18,3277949107,IsaksenJeremiah,A quote from the article below But there’s no evidence that the jab is preventing transmission and there’s growing evidence as is now being proven by Pfizer’s own documents reluctantly released that the jab can cause severe illness and even death,0,0,No Location,13/3/2022,NEGATIVE
1.50E+18,1.50E+18,QuantumAwarene1,Dangerous Pfizer Vaccine Fraud Fully Exposed Digital Currency Digital IDs Global Debt BlackRock manager Edward Dowd is speaking out about the real motivations behind the pandemic which include a global debt problem and an imminent global collapse,0,0,No Location,13/3/2022,NEUTRAL
1.50E+18,718577048,kevin_loader,day two of testing positive and so far it's like a cold with aches My 3 pfizer jabs are holding up well so vaccination does work,0,0,dorchester,13/3/2022,POSITIVE
1.50E+18,1.36E+18,c19vaxreactions,pfizer Stay strong my friend There are so many of us out there I pray help is coming,1,0,No Location,13/3/2022,POSITIVE
1.50E+18,205148837,MevrouS,Even Pfizer itself can’t back their product but Peter from Windhoek is saying saying the vaccine is safe 🤦🏽‍♀,0,2,Namibia,13/3/2022,NEGATIVE
1.50E+18,612917203,EstherMaile,2 Climate change deniers sceptics note Russia is interested in keeping fossil fuels going 3 Covid scepticism anti vaccine All serves to destabilise western governments as public looses trust and Russia can use discontent to its advantage as it faces less criticism f action,0,0,United Kingdom,18/3/2022,NEUTRAL
1.50E+18,7.93E+17,dwilliam9940,Vaccine Researcher Develops Tinnitus 90 Minutes After COVID Shot Calls for More Research via,2,2,"Staffordshire, England",18/3/2022,NEUTRAL
1.50E+18,29974264,pierrech,Albert Bourla CEO pfizer We had only 2 years experience working on mRNA technology mRNA was a technology that never ever delivered a single product But they came and were very very convinced [… So they convinced me In other words Look it's not my fault,15,5,Switzerland,13/3/2022,NEUTRAL
1.50E+18,371504522,originator39,Exclusive Forced to Get Vaccine to Remain on Lung Transplant List 49-Year-Old Who Survived COVID Dies After Second Moderna Shot Children's Health Defense,0,0,No Location,13/3/2022,NEGATIVE
1.50E+18,1.44E+18,Tell34Truth,That's because Pfizer is paying her bills 🤔,1,0,No Location,13/3/2022,NEUTRAL
1.50E+18,1.06E+18,real_GGoswami,Entry from TGA Australia DAEN database - Date 24th Feb 2022 Medicine suspected Pfizer Age 17 yrs Gender Female Adverse reaction Out of many Vaccine breakthrough infection COVID19 vaccine Snake Oil COVID19Aus,3,0,Australia,13/3/2022,NEGATIVE
1.50E+18,137342089,LexxieWithLuv,Why is Pfizer trending And why are antivax mad Why do they care so much 🤔,0,0,No Location,13/3/2022,NEUTRAL
1.50E+18,1.48E+18,jimielvis73,What to do… Watch closely as the pfizer play twister somehow come up w results they’ll try to justify mRNA’s declining effectiveness weakness against variants is known must fast track COVAXIN end mRNA monopoly It’s inevitable truth will come out,7,5,No Location,12/3/2022,NEUTRAL
1.50E+18,3001682964,PridgeWessea,Can you show me where the GOP leadership encouraged people to get the vaccine And yes considering the trump administration’s history I can see why they would want to make sure it was developed well and tested properly Luckily we got a Pfizer and Moderna and not trump vax,1,0,Chicago,12/3/2022,POSITIVE
1.50E+18,1.50E+18,SaskiAdams,The vaccine aka the clot shot Top side effect Please Read the attached nine pages of side effects starting at page 30 that Pfizer was just court ordered to release wanted to hold back til 2085,0,0,Canada,13/3/2022,NEGATIVE
1.50E+18,260104459,_officialMoss,Probably J J He was one of the first to be vaccinated and there was no Pfizer yet in this country then,1,0,"Port Elizabeth, South Africa",13/3/2022,NEUTRAL
1.50E+18,16453340,News_8,Moderna asked the Food and Drug Administration on Thursday to authorize a fourth shot of its COVID-19 vaccine as a booster dose for all adults,3,0,"Rochester, NY",18/3/2022,NEUTRAL
1.50E+18,1.14E+18,mybmcWardRN,R-North Prabhag CVCs Thursday 10th March 2022 Covishield 18 yrs and Covaxin 15 yrs session list 100 Onspot,2,1,No Location,9/3/2022,NEUTRAL
1.50E+18,91552290,tasuki_rose,Takeda-Moderna highschool,1,0,精神世界,13/3/2022,NEUTRAL
1.50E+18,1898449531,Itallmakesens,Novavax uses the spike protein small part of the virus COVAXIN vaccine uses the whole virion inactivated dead virus this method have been used for decades works better with variants as it introduces the whole virus to the body not just part of it,2,1,No Location,8/3/2022,NEUTRAL
1.50E+18,1.50E+18,OssOyss,Pfizer PFE announced today the completion of its acquisition of Arena Pharmaceuticals,0,0,Oman - Muscat,13/3/2022,NEUTRAL
1.50E+18,48689367,tulunsokit,Coronavac is the main vaccine in use,1,0,Johor Bahru,12/3/2022,NEUTRAL
1.50E+18,1.48E+18,Desanctos6464,So you are saying there are grounds to believe the partnership between Ocugen and Bharat may expand to more than just Covaxin,20,0,No Location,6/3/2022,NEUTRAL
1.50E+18,1.49E+18,Nii_Anue_Q,Check One by one OCGN COVAXIN Covaxin4Kids,1,0,No Location,9/3/2022,NEUTRAL
1.50E+18,9.38E+17,PxOfGreatness,1 nominate a Fed Reserve chair that would tighten monetary policy and not grow M2 at 38 2 ban all vaccine mandates and covid related friction in the economy because a they are ineffective and b it will give businesses clarity 3 stand down from the Ukraine war,0,0,"Denver, CO",18/3/2022,NEGATIVE
1.50E+18,1.50E+18,Daily__Articles,Pfizer’s COVID vaccine less effective against Omicron in younger children new study suggests,0,0,No Location,13/3/2022,NEUTRAL
1.50E+18,224265209,miriamgracego,Proud of the team The justice human rights cluster under is behind the drug war data series painstakingly built and maintains our COVID19 vaccine tracker w,4,2,No Location,18/3/2022,NEUTRAL
1.50E+18,1.47E+18,EyeDrTayson,Mexico approved Covaxin in April 2021 but no Covaxin has ever made to Mexico What’s the problem,1,0,No Location,9/3/2022,NEUTRAL
1.50E+18,2856347153,health_fuel,Was it also counter intuitive to share the research data Is that why they didn't want to publish it and it was only released by court order 🤔,113,42,No Location,13/3/2022,NEUTRAL
1.50E+18,545569148,DNPP420,pfizer Have you contacted any of the Covid Doctors organizations,0,0,Pale Blue Dot 🇺🇸,13/3/2022,NEUTRAL
1.50E+18,1.43E+18,RoySougata2,Dear sir I think I will go to France next month but France government are not accepting covaxin for Indian travellers please take necessary action and request to French government that they are accepting covaxin for Indian travellers,0,0,No Location,12/3/2022,NEUTRAL
1.50E+18,1.32E+18,LucyJaneMorris_,Also strange that Moderna was also told the same thing by their ‘they’😏,0,0,Expat in Hong Kong,12/3/2022,NEUTRAL
1.50E+18,1.48E+18,LindaGambrell3,HORRIFIC FINDING IN MODERNA J J COVID JABS SELF-ASSEMBLING ORGANISMS via,2,1,No Location,12/3/2022,NEGATIVE
1.50E+18,1.46E+18,KRob55737385,Question Covaxin When FDA Approval What about COVAXIN is so damning Why suppress this from Americans VRBPAC Meeting for Covaxin Data is irrefutable and transparent Created by Vaccine Prejudice Covaxinforkids,23,13,No Location,8/3/2022,NEUTRAL
1.50E+18,1.38E+18,Danilo95003066,You didn’t want it „at this time so when When is a good time if not NOW Approve COVAXIN COVAXINforChildren ✨ ——————————— usfda COVAXINapproval,12,9,No Location,8/3/2022,NEUTRAL
1.50E+18,27687338,hottoddyo,COVAXIN is unfairly being overlooked it would appear Let's hope and approves this soon before we see another spike in Covid cases,50,26,USA,10/3/2022,POSITIVE
1.50E+18,198946004,njstone9,HK has Pfizer and Sinovac The latter is not as good but the data coming out suggests it is able to prevent death at least,0,0,Hong Kong,12/3/2022,POSITIVE
1.50E+18,238353719,JaniceOnPoint,pfizer You are important and needed,0,0,Matrix,13/3/2022,POSITIVE
1.50E+18,1.27E+18,theEdAllMighty,I mean it’s a known thing there are bio labs as well as other countries…Pfizer has a presence etc What’s your angle,0,0,"San Francisco, CA",13/3/2022,NEUTRAL
1.50E+18,1.49E+18,1Think4yourself,So Pfizer is just winging it according to the boss A year or 2 of shagging about in a lab and then inject every person on the planet and hope for the best That is my takeaway here,0,0,No Location,13/3/2022,NEUTRAL
1.50E+18,16470581,rciani,Trip vaxxed with Moderna and luckily nothing,0,0,"Los Angeles, CA",13/3/2022,POSITIVE
1.50E+18,227429355,AmeshAA,Is important to understand why the EUA was declined,4,0,"Pittsburgh, Baltimore, NYC",7/3/2022,NEUTRAL
1.50E+18,1.49E+18,GHpennington,The full body inflammation lasted almost 6 weeks During this time my doctors advised me not to get my second Pfizer shot until my body calmed down I was still anxious to finish the course,0,0,United States,13/3/2022,NEUTRAL
1.50E+18,1.31E+18,calidreamz1,Do you think covaxin is also dangerous Is that one from India you are reffering to,0,0,No Location,11/3/2022,NEUTRAL
1.50E+18,517462465,winter_time1776,Pfizer docs that they tried to lock up for 75 years show a 3 mortality rate That is higher thsn Covid's mortality rate Do the math urself This doesnt include whats going to happen to many folks who are susceptible to increased carcinogenic effects of a very mutagenic gene tx,0,0,Anicca,13/3/2022,NEGATIVE
1.50E+18,1.48E+18,RKPsccopy,Approve covaxin IchooseCOVAXIN,2,0,No Location,6/3/2022,POSITIVE
1.50E+18,1.30E+18,callmeRedbeard,This is the delisting of a bond series not their stock Basically Pfizer paid off the bonds so they are no longer available to investors,0,0,No Location,13/3/2022,NEUTRAL
1.50E+18,296320706,Stashk311,Pfizer is done nobody wants it and sees the damage from the reports How much was paid to hold down covaxin It will all come out,0,0,"Los Angeles, CA",12/3/2022,NEGATIVE
1.50E+18,33987489,BitchR,High-profile coronavirus cases are setting Washington on edge by BY MICHAEL D SHEAR via NYT New York Times,0,0,Planet Earth,18/3/2022,NEUTRAL
1.50E+18,1.50E+18,JimmyMurica,Moderna is the worst of them all,2,1,"New Hampshire, USA",12/3/2022,NEGATIVE
1.50E+18,102891455,LiLiGoGo19,Many COVID-19 vaccine manufacturers have required that countries indemnify them for any adverse events suffered by individuals as a result of the vaccines the United Nations says,0,0,GA,18/3/2022,NEUTRAL
1.50E+18,963390487,Ratherbe_elswr,I had AZ vax 3 months apart May Aug ‘21 Had Moderna Dec ‘21 I have not had Covid_19 What’s your informed estimate of my coverage now against Omicron BA 2 variant BA2 Omicron Has doing everything vaxed early increased my chances of contracting Cov19 BA 2 now,0,0,GunaiKurnai land.,12/3/2022,NEUTRAL
1.50E+18,1.29E+18,SaraJane101,They kept saying it was safe turned people against eachother to hide what they knew was the truth Even telling mums it was safe despite knowing still births had occurred Our governments Pfizer never gave a damn about any of us,5,2,No Location,13/3/2022,NEGATIVE
1.50E+18,1.09E+18,Pumpkinhead375,A single clinical trial of how many You want to throw out large individual numbers but w out context they're meaningless And if these side effects are so shocking why are we not seeing them duplicated Pfizer wanted it concealed for 75 years Beginning in 2020,0,0,No Location,13/3/2022,NEUTRAL
1.50E+18,928719404,practiceupdate,Safety of COVID-19 Vaccine Booster Doses in Adults,0,0,"New York, NY",18/3/2022,NEUTRAL
1.50E+18,1.46E+18,NuTCryptoAngel,Just look at all the comments below this tweet from Pfizer This is criminal and this MUST STOP,0,0,No Location,13/3/2022,NEGATIVE
1.50E+18,1.49E+18,NNEWBOOSTSAHER,tension in Russian vaccine I will take another vaccine b3c Imran's pti ttp tlp at kar bank ubl new vaccine card with another Sim card,0,0,No Location,10/3/2022,NEUTRAL
1.50E+18,295693924,fpjindia,Gennova Biopharmaceuticals submits phase 2 phase 3 data of its mRNA COVID-19 vaccine to DCGI To get epaper daily on your whatsapp click here,1,0,India,18/3/2022,NEUTRAL
1.50E+18,1.45E+18,PamEdwards123,I question if the is serving in the BEST INTERESTS OF THE AMERICAN PEOPLE Why are they slow-walking the best-in-class vaccine They've had the trial 400 CMC 71 EUA 41 data TWICE as long as Pfizer 21 Moderna 17 Who are they really serving,33,2,No Location,12/3/2022,NEGATIVE
1.50E+18,2324788177,skiermichael,ICUs are filling up with unvaccinated people who could have easily avoided their COVID infection with a shot leaving little room for emergency patients who did got the vaccine but now have a non-COVID emergency VaccinesWork,0,0,Greater Los Angeles,18/3/2022,NEGATIVE
1.50E+18,700817096,Adz91k,It’s crazy the news will not even acknowledge the Pfizer documents I guess it’s because they prove that the news has spread misinformation on Pfizer covid vaccine the whole time,0,0,AUSTRALIA,18/3/2022,NEGATIVE
1.50E+18,1020012716,PeterJakeson,Hundreds of millions of people have been vaccinated with Kexing's COVID-19 vaccine You say no one uses it…,0,0,No Location,18/3/2022,NEUTRAL
1.50E+18,349114303,MDEVELOPMENT,Yes Double Moderna with a cocktail Pfizer booster mix Did a home test a few weeks ago Negative I masked in-doors in the stores Never got Covid-19,0,0,"nyc, the nation and the world",13/3/2022,NEUTRAL
1.50E+18,217079025,USEmbassyGhana,500 million COVID-19 vaccine doses donated to date including 7 6 million doses to 🇬🇭 USinGhana,18,5,"Accra, Ghana",18/3/2022,POSITIVE
1.50E+18,12272322,PoliticsReid,Moderna has asked the FDA to authorize a 4th dose of COVID19 vaccine,0,1,"Washington, D.C.",18/3/2022,NEUTRAL
1.50E+18,1.08E+18,Cliffor01051440,Russia's bioweapon conspiracy theory finds support in US via Putin CLAIMS to have a Sputnik vaccine Where is it,0,0,No Location,12/3/2022,NEUTRAL
1.50E+18,1.48E+18,news24buzz1,The conflict in opposition to Corona continues Moderna seeks approval for the fourth dose of Covid-19 vaccine,0,0,No Location,18/3/2022,NEURTAL
1.50E+18,1.47E+18,DatNagger,weird I had the Modern back in Feb 2021 and the 2nd shot made me VERY sick so no more for me Wife had Pfizer and boosted which made her sick After some dicussion with the wife we decide not to get the kids 12 19 vaxxed,2,0,No Location,13/3/2022,NEUTRAL
1.50E+18,737090988,StonehamAshley,I think their Covid 19 Sputnik vaccine was spiked,0,0,Gaborone BW 🇧🇼,8/3/2022,NEGATIVE
1.50E+18,1.23E+18,Porti86862233,CDC FDA can investigate those adverse events very easy since patient or person on their behalf MD etc enters batch lot time date name medical records Making a false report it’s also a crime clearly stated when filing a report Covid Vaccine,3,0,No Location,18/3/2022,NEUTRAL
1.50E+18,1.32E+18,Eazyc69,ocgn im now looking into if the cell strain covaxin uses is also from CDC like previous vaccines BB has made,6,0,No Location,9/3/2022,NEUTRAL
1.50E+18,1.35E+18,Montrealquebec4,Omg I hope they bankrupt Pfizer and put politicians nedis and doctors in jail,0,0,No Location,13/3/2022,NEGATIVE
1.50E+18,1.13E+18,Emperorhasnocl1,🙋‍♀️triple Moderna vaxxed two years no Corona,0,0,"Hubbell, MI",13/3/2022,POSITIVE
1.50E+18,1.48E+18,FlipZ24,There is a reason you haven’t been able to get the Pfizer yet Pages of adv events of interest in the newly released documents is very concerning they need to get Pfizer approved or they lose their liability shield Approving Covaxin would interfere with that,0,0,No Location,11/3/2022,NEGATIVE
1.50E+18,357396551,volatyl3,Lol board member of Pfizer shares shill studies with conflicts of interest as long as they abstract,0,0,Here,13/3/2022,NEUTRAL
1.50E+18,735681727,SilviaNewman4,And the Pfizer pills 😵‍💫,0,0,No Location,13/3/2022,NEUTRAL
1.50E+18,3556193720,Deeval33,pfizer Try a naturopath Stay positive Bodies are capable of recovering,0,0,British Columbia,13/3/2022,POSITIVE
1.50E+18,1.14E+18,mybmcWardRN,R-North Prabhag CVCs Wednesday 9th March 2022 Covishield 18 yrs and Covaxin 15 yrs session list 100 Onspot,4,0,No Location,8/3/2022,NEUTRAL
1.50E+18,9.71E+17,crypt0bank,No wonder all the major share holders dumped Insider trading at its best Hopefully Nancy Pelosi sold the top lol pfizer,0,0,Earth,13/3/2022,NEUTRAL
1.50E+18,1.37E+18,girl_roadrunner,pfizer My mom got her fourth shot recently She's a nurse I tried to tell her truths anyway just yesterday she told me her blood pressure sky rocketed I didn't consider it might be related to this She wouldn't listen to me,1,0,"Albuquerque, NM",13/3/2022,NEUTRAL
1.50E+18,159194622,gottosayit,It's fully related to the sanctions white house was planning against India due to their lack of opposition to Russia but couldn't as India is strategic defence partner for US So they screwed this Otherwise with new pro covaxin guy in WH testing approval EUA was a given,2,0,Seattle,8/3/2022,NEUTRAL
1.50E+18,45971460,batalysta,Ok Previous sufferers of heart inflammation can receive Pfizer vaccine via,1,0,NY the shitshow state,18/3/2022,NEUTRAL
1.50E+18,2327232987,sexychic69_,somebody said if you got a covid vaccine you’ve been injected with the zombie trait y’all should do stand up comedy really,0,0,florida,18/3/2022,NEUTRAL
1.50E+18,1.46E+18,Jeff_mc2,Pfizer CEO Albert Bourla mRNA was the technology that we had less experience with only two years working on this And actually mRNA was a technology that never delivered a single product until that day Not vaccine not any other medicine so it was very counterintuitive,0,0,Las Vegas,13/3/2022,NEGATIVE
1.50E+18,8678982,zendolphyn,Next we'll be hearing about Decepticron searching for the Pfizer Allspark,1,0,"Athens, GA",12/3/2022,NEUTRAL
1.50E+18,1.48E+18,GhostsofSoL,Moderna and other big pharma would like to thank the government MSM and the leftist covid cult for making this possible Thank you,0,0,No Location,12/3/2022,POSITIVE
1.50E+18,1.41E+18,Mabel__Syrup__,Oh yeah Moderna who couldn't develop a safe mRNA product that required multiple doses just 2 years before Covid,8,1,No Location,12/3/2022,NEUTRAL
1.50E+18,378366419,RickyCLam,Is there data for of deaths ICU cases with respect to which vaccine Sinovac vs Pfizer Will be useful to see the efficacy of the vaccines,0,0,"San Francisco, CA",10/3/2022,NEUTRAL
1.50E+18,1.41E+18,NetNegative1,The vaccine is proven to massively cut the risk of becoming seriously ill with covid it cannot stop you catching it,2,1,Cornwall UK,18/3/2022,POSITIVE
1.50E+18,1.41E+18,AbdiasArlet,Pfizer closes its facilities after its stock market plunge and its request to withdraw from the Wall Street market Something is going to happen,1,1,No Location,13/3/2022,NEUTRAL
1.50E+18,1.11E+18,brianPr86073081,Kansas woman’s obituary claims she died from reaction to COVID-19 vaccine During the waiting period following the vaccine administration the individual began experiencing anaphylaxis and medical treatment was provided,0,0,Buffalo valley Arkansas,18/3/2022,NEUTRAL
1.50E+18,1.43E+18,libraryhouse9,Can’t die from Covid if the vaccine kills you first You’re definitely on to something,0,0,No Location,18/3/2022,NEGATIVE
1.50E+18,3547413013,JGillRay,I fear this is going to get bad Early on it took 1-2 months lockdown to get a serious outbreak under control Omicron at least 6x more transmissible and largely evades Sinovac vax The damage of pursuing zero covid this summer will be huge,0,0,No Location,13/3/2022,NEUTRAL
1.50E+18,1.50E+18,Mildlyamusing4u,Some of us take the Pfizer blue pill just so we don't roll out of bed at night,0,0,No Location,13/3/2022,NEUTRAL
1.50E+18,1.07E+18,ladywolvie82,Team Moderna all the way including the booster no Covid,2,0,"Illinois, USA",13/3/2022,POSITIVE
1.50E+18,1.44E+18,ClubEffective,No Using altered genetic material does not Gene Therapy Covid Vaccines are as much gene therapy as insulin or eating spaghetti topped with Parmesan cheese made from genetically modified microbes,0,0,No Location,12/3/2022,NEUTRAL
1.50E+18,1.32E+18,JohnTuc72335789,Pfizer Giving FDA Data For Fourth Shot Plans All-Variant Vaccine does Pfizer sale snake oil also,1,2,No Location,13/3/2022,NEGATIVE
